"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"","","","","","html-button-response","10","2.1.0","422094","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","34157","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","sit down","think about something","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","426010","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3915","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","get tired","sit down","become hungry","<p style=""font-size: 25px;"">The ability to <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.1.0","431736","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5725","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","think about something","feel scared","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.1.0","439087","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","7351","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","choose what to do","feel scared","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.1.0","486605","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","47519","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","become hungry","think about something","feel scared","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.1.0","490579","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3974","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","reach for something","experience pain","take a walk","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.1.0","494166","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3587","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","get sick","sit down","become hungry","<p style=""font-size: 25px;"">The ability to <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.1.0","501240","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","7074","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","0","","attention_check","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","18","2.1.0","551082","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","49843","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","feel scared","think about something","become hungry","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","instructions","19","2.1.0","557222","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6139","","","[{""page_index"":0,""viewing_time"":6139}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","604006","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","demographics_survey","46786","","{""feedback"":""I thought a lot about characteristics that would normally go together."",""age"":""49"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I thought a lot about characteristics that would normally go together.","49","Non-Hispanic","Female","White"
