"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similar_itemA","feedback","age","ethnicity","gender","race"
"","","","","","html-button-response","10","2.1.0","56888","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","1502","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>get tired</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","11","2.1.0","58452","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","1562","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>hear something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","","<p style=""font-size: 25px;""><strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","12","2.1.0","61830","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","3376","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>feel scared</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","13","2.1.0","64531","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","2700","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>experience pain</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","14","2.1.0","66456","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","1924","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>remember something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","15","2.1.0","69252","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","2794","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>kick something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","","<p style=""font-size: 25px;""><strong>sit down</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","16","2.1.0","71804","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","2550","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>choose what to do</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","choose what to do","experience pain","remember something","","","","",""
"","","","","","html-button-response","17","2.1.0","75007","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","3202","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>reach for something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","","<p style=""font-size: 25px;""><strong>kick something</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","18","2.1.0","80796","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","5787","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>get sick</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","instructions","19","2.1.0","85481","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","","4684","","","[{""page_index"":0,""viewing_time"":4684}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","119232","90604F0E7687470BA31A88BB907B476D","","019a7554-4882-75ac-add4-95f1a495302d","demographics_survey","33746","","{""feedback"":""One that made more sense "",""age"":""46"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","One that made more sense ","46","Non-Hispanic","Female","White"
